,AVERAGE,ESG LAGGARD,ESG LEADER,country,date,industry,percent_rating,rating,rating_history
IID000000002132259,"Corruption & Instability,Labor Management,Water Stress","Biodiversity & Land Use,Toxic Emissions & Waste","Corporate Governance,Health & Safety,Carbon Emissions",United Kingdom,"Nov-16,Apr-17,Apr-18,Sep-19,Jan-20",Metals and Mining - Non-Precious Metals,"16%,26%,22%,12%,19%,3%,2%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,BBB"
IID000000002132279,"Corruption & Instability,Product Safety & Quality,Privacy & Data Security","Corporate Governance,Labor Management",Carbon Emissions,Germany,"May-16,Sep-16,May-17,Jun-18,Jul-19",Health Care Providers & Services,"5%,7%,17%,40%,19%,10%,2%","CCC,B,BB,BBB,A,AA,AAA","BB,B,BB,BBB,BBB"
IID000000002132648,"Chemical Safety,Supply Chain Labor Standards,Controversial Sourcing",Electronic Waste,Corporate Governance,Switzerland,"Dec-15,Dec-16,Aug-17,Aug-18,Jun-19",Household Durables,"4%,7%,29%,11%,21%,21%,7%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,A"
IID000000002134176,Labor Management,Opportunities in Clean Tech,"Corporate Governance,Corruption & Instability,Health & Safety",Ireland,"Aug-15,Aug-16,Aug-17,Sep-18,Oct-19",Industrial Conglomerates,"3%,13%,34%,11%,24%,8%,8%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AAA,AAA"
IID000000002134340,"Corporate Governance,Biodiversity & Land Use,Health & Safety,Carbon Emissions",nan,nan,Spain,"Jan-16,Jan-17,Jun-17,Mar-18,Oct-19",Utilities,"7%,12%,18%,19%,19%,18%,7%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002134674,"Toxic Emissions & Waste,Health & Safety,Opportunities in Clean Tech",nan,"Corporate Governance,Carbon Emissions",Switzerland,"Feb-16,Aug-16,Feb-17,Feb-18,Jun-19",Building Products,"5%,5%,5%,11%,32%,37%,5%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AA,AA,AA"
IID000000002134975,"Product Safety & Quality,Water Stress,Health & Safety",Packaging Material & Waste,"Corporate Governance,Product Carbon Footprint",Netherlands,"Jun-15,Jun-16,Jun-17,Jul-18,Nov-19",Beverages,"6%,25%,15%,10%,21%,17%,6%","CCC,B,BB,BBB,A,AA,AAA","A,AA,A,A,A"
IID000000002135027,"Corporate Governance,Labor Management,Supply Chain Labor Standards",nan,"Privacy & Data Security,Chemical Safety,Product Carbon Footprint,Raw Material Sourcing",Sweden,"Apr-15,Apr-16,Apr-17,Apr-18,Aug-19",Retail - Consumer Discretionary,"1%,20%,21%,20%,26%,7%,5%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AA,AA,AA"
IID000000002135208,"Labor Management,Carbon Emissions",Water Stress,Corporate Governance,United Kingdom,"Sep-15,Aug-16,Apr-17,May-18,Jun-19",Hotels & Travel,"16%,16%,16%,21%,5%,21%,5%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002135288,"Corporate Governance,Labor Management,Supply Chain Labor Standards",nan,"Privacy & Data Security,Chemical Safety,Product Carbon Footprint,Raw Material Sourcing",Spain,"Apr-15,May-16,Apr-17,Apr-18,Aug-19",Retail - Consumer Discretionary,"1%,19%,22%,20%,26%,7%,5%","CCC,B,BB,BBB,A,AA,AAA","AA,AAA,AAA,AAA,AAA"
IID000000002135404,"Product Safety & Quality,Toxic Emissions & Waste",nan,"Corporate Governance,Corruption & Instability,Human Capital Development,Access to Health Care",Denmark,"Nov-15,Sep-16,Sep-17,Sep-18,Jun-19",Pharmaceuticals,"2%,30%,24%,16%,21%,5%,2%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002135451,"Human Capital Development,Opportunities in Renewable Energy,Water Stress",nan,"Corporate Governance,Biodiversity & Land Use,Carbon Emissions,Toxic Emissions & Waste",United Kingdom,"Nov-15,Nov-16,Dec-17,Dec-18,Dec-19",Utilities,"7%,12%,18%,19%,19%,18%,7%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AAA,AAA,AAA"
IID000000002136332,"Corporate Governance,Responsible Investment,Privacy & Data Security,Carbon Emissions",Human Capital Development,nan,Switzerland,"Apr-15,Apr-16,May-17,May-18,Sep-19",Asset Management & Custody Banks,"6%,19%,13%,19%,22%,19%,3%","CCC,B,BB,BBB,A,AA,AAA","BB,BB,BB,BB,BBB"
IID000000002137074,"Corruption & Instability,Carbon Emissions,Health & Safety",Biodiversity & Land Use,"Corporate Governance,Toxic Emissions & Waste",Netherlands,"Jul-16,Aug-17,Aug-18,Sep-18,Oct-19",Integrated Oil & Gas,"6%,19%,13%,23%,19%,10%,10%","CCC,B,BB,BBB,A,AA,AAA","A,BBB,BBB,BBB,A"
IID000000002137159,"Chemical Safety,Opportunities in Nutrition & Health,Water Stress",Product Safety & Quality,"Corporate Governance,Product Carbon Footprint,Raw Material Sourcing",United Kingdom,"Jul-16,Apr-17,Jul-17,Jul-18,Sep-19",Household & Personal Products,"3%,8%,11%,19%,28%,22%,8%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002137304,Labor Management,nan,"Corporate Governance,Carbon Emissions,Health & Safety,Toxic Emissions & Waste,Water Stress",Austria,"Nov-15,Nov-16,Nov-17,Nov-18,Nov-19",Steel,"35%,24%,5%,16%,11%,8%,0%","CCC,B,BB,BBB,A,AA,AAA","BBB,A,AA,AA,AA"
IID000000002137326,"Biodiversity & Land Use,Carbon Emissions","Water Stress,Product Safety & Quality",Corporate Governance,United Kingdom,"Oct-15,Oct-16,Sep-17,Sep-18,Oct-19",Utilities,"7%,12%,18%,19%,19%,18%,7%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,BBB"
IID000000002137341,Product Safety & Quality,Water Stress,"Corporate Governance,Biodiversity & Land Use,Carbon Emissions",United Kingdom,"Oct-15,Sep-16,Sep-17,Sep-18,Oct-19",Utilities,"7%,12%,18%,19%,19%,18%,7%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002140364,"Corporate Governance,Corruption & Instability,Product Safety & Quality,Carbon Emissions",nan,Human Capital Development,France,"Oct-17,Nov-18,Mar-19",Health Care Equipment & Supplies,"3%,11%,24%,20%,22%,18%,3%","CCC,B,BB,BBB,A,AA,AAA","BB,BB,BBB"
IID000000002140371,"Corruption & Instability,Carbon Emissions,Health & Safety,Toxic Emissions & Waste",Biodiversity & Land Use,Corporate Governance,United Kingdom,"Aug-15,Aug-16,Jul-17,Aug-18,Aug-19",Integrated Oil & Gas,"6%,19%,13%,23%,19%,10%,10%","CCC,B,BB,BBB,A,AA,AAA","BB,BB,BB,BBB,BBB"
IID000000002140381,nan,Labor Management,"Corporate Governance,Corruption & Instability,Product Safety & Quality,Opportunities in Clean Tech",United Kingdom,"Dec-15,Nov-16,Dec-17,Dec-18,Oct-19",Aerospace & Defense,"23%,8%,18%,18%,20%,13%,3%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,A,A,AA"
IID000000002140405,"Corporate Governance,Labor Management,Privacy & Data Security,Carbon Emissions",nan,nan,Switzerland,"Aug-16,Mar-17,Apr-18,Mar-19,Jan-20",Professional Services,"4%,4%,13%,13%,17%,35%,13%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002140423,"Corporate Governance,Corruption & Instability",nan,"Health & Safety,Opportunities in Clean Tech",Germany,"Jul-16,May-17,May-18,Aug-19",Construction & Engineering,"16%,42%,3%,5%,13%,18%,3%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA"
IID000000002140428,"Corporate Governance,Supply Chain Labor Standards",nan,"Labor Management,Chemical Safety,Raw Material Sourcing,Product Carbon Footprint",Germany,"Jul-18,Sep-19","Textiles, Apparel & Luxury Goods","3%,11%,27%,22%,11%,14%,14%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA"
IID000000002140445,"Carbon Emissions,Human Capital Development,Opportunities in Renewable Energy,Toxic Emissions & Waste,Water Stress",nan,Corporate Governance,Finland,"Nov-15,Nov-16,Nov-17,Nov-18,Jul-19",Utilities,"7%,12%,18%,19%,19%,18%,7%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002140450,Toxic Emissions & Waste,"Human Capital Development,Opportunities in Renewable Energy","Corporate Governance,Biodiversity & Land Use,Carbon Emissions,Water Stress",United Kingdom,"Aug-15,Jul-16,Jul-17,Jul-18,Sep-19",Utilities,"7%,12%,18%,19%,19%,18%,7%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,AA"
IID000000002140458,"Supply Chain Labor Standards,Chemical Safety,Labor Management",nan,"Corporate Governance,Raw Material Sourcing,Product Carbon Footprint",Germany,"Sep-15,Sep-16,Aug-17,Aug-18,Jul-19","Textiles, Apparel & Luxury Goods","3%,11%,27%,22%,11%,14%,14%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002140464,"Corruption & Instability,Opportunities in Clean Tech,Toxic Emissions & Waste",Labor Management,Corporate Governance,Germany,"Jan-16,Feb-17,Feb-18,Feb-19,Feb-20",Industrial Machinery,"7%,11%,11%,23%,21%,21%,5%","CCC,B,BB,BBB,A,AA,AAA","A,AA,A,A,A"
IID000000002142057,"Corporate Governance,Product Safety & Quality,Carbon Emissions",nan,"Corruption & Instability,Human Capital Development",Denmark,"Dec-15,Dec-16,Dec-17,Dec-18,Apr-19",Health Care Equipment & Supplies,"3%,11%,24%,19%,23%,18%,3%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AAA,AA"
IID000000002142971,Privacy & Data Security,nan,"Corporate Governance,Corruption & Instability,Labor Management,Carbon Emissions",United Kingdom,"Jun-15,May-16,May-17,Apr-18,Jul-19",Media & Entertainment,"8%,23%,21%,23%,14%,8%,4%","CCC,B,BB,BBB,A,AA,AAA","AA,AAA,AAA,AAA,AAA"
IID000000002142979,"Corporate Governance,Human Capital Development,Access to Health Care,Corruption & Instability",Product Safety & Quality,Toxic Emissions & Waste,Spain,"Oct-15,Oct-16,Oct-17,Nov-18,Aug-19",Biotechnology,"12%,47%,12%,9%,9%,12%,0%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,BBB"
IID000000002143266,"Biodiversity & Land Use,Toxic Emissions & Waste,Health & Safety,Labor Management",nan,"Corporate Governance,Carbon Emissions",Switzerland,"May-15,May-16,May-17,May-18,Aug-19",Construction Materials,"19%,19%,19%,19%,6%,13%,3%","CCC,B,BB,BBB,A,AA,AAA","AA,A,A,BBB,BBB"
IID000000002143317,nan,nan,"Corporate Governance,Human Capital Development,Privacy & Data Security,Carbon Emissions",France,"Mar-15,Mar-16,Mar-17,Mar-18,Apr-19",Media & Entertainment,"8%,23%,21%,23%,14%,8%,4%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AAA,AAA"
