,AVERAGE,ESG LAGGARD,ESG LEADER,country,date,industry,percent_rating,rating,rating_history
IID000000002591911,"Human Capital Development,Privacy & Data Security,Carbon Emissions",nan,Corporate Governance,Spain,"May-15,May-16,May-17,Jun-18,Aug-19",Software & Services,"1%,8%,19%,27%,25%,16%,4%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002596635,"Labor Management,Raw Material Sourcing","Product Safety & Quality,Opportunities in Nutrition & Health,Product Carbon Footprint","Corporate Governance,Privacy & Data Security",United Kingdom,"Jun-15,May-16,May-17,Jun-18,Aug-19",Retail - Consumer Discretionary,"1%,19%,22%,20%,26%,7%,5%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,A,A"
IID000000002598678,"Corporate Governance,Opportunities in Clean Tech",nan,"Corruption & Instability,Health & Safety",Spain,"Apr-15,Apr-16,Jul-17,Aug-18,Aug-19",Construction & Engineering,"16%,42%,3%,5%,13%,18%,3%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AA"
IID000000002609331,"Product Safety & Quality,Carbon Emissions","Corruption & Instability,Labor Management","Corporate Governance,Privacy & Data Security",Isle of Man,"Jul-16,Jul-17,Jul-18,Feb-19,Nov-19",Casinos & Gaming,"11%,5%,26%,21%,11%,26%,0%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,BBB"
IID000000002619434,"Biodiversity & Land Use,Toxic Emissions & Waste,Corruption & Instability,Health & Safety,Water Stress",Labor Management,"Corporate Governance,Carbon Emissions",Switzerland,"Nov-15,Nov-16,Dec-17,Nov-18,Jun-19",Metals and Mining - Non-Precious Metals,"16%,26%,22%,12%,19%,3%,2%","CCC,B,BB,BBB,A,AA,AAA","BB,BB,BB,BB,BB"
IID000000002630755,"Labor Management,Raw Material Sourcing","Chemical Safety,Product Carbon Footprint",Corporate Governance,Italy,"Aug-15,Aug-16,Aug-17,Sep-18,Oct-19","Textiles, Apparel & Luxury Goods","3%,11%,27%,22%,11%,14%,14%","CCC,B,BB,BBB,A,AA,AAA","BB,BBB,BBB,BBB,BBB"
IID000000002631142,"Health & Safety,Biodiversity & Land Use,Corruption & Instability",nan,"Corporate Governance,Toxic Emissions & Waste,Labor Management,Water Stress",Cyprus,"Jul-15,Mar-16,Mar-17,Mar-18,Aug-19",Metals and Mining - Precious Metals,"13%,17%,26%,13%,22%,9%,0%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,A"
IID000000002631628,"Carbon Emissions,Health & Safety,Water Stress","Toxic Emissions & Waste,Labor Management","Corporate Governance,Biodiversity & Land Use",Russia,"Nov-15,Nov-16,Nov-17,Nov-18,Sep-19",Steel,"35%,24%,5%,16%,11%,8%,0%","CCC,B,BB,BBB,A,AA,AAA","CCC,CCC,CCC,CCC,B"
IID000000002632309,Access to Health Care,"Human Capital Development,Toxic Emissions & Waste","Corporate Governance,Product Safety & Quality,Corruption & Instability",Ireland,"Jun-15,Jun-16,Jun-17,Jun-18,Jun-19",Pharmaceuticals,"2%,30%,24%,16%,21%,5%,2%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,A,A,A"
IID000000002643578,"Labor Management,Privacy & Data Security",Corruption & Instability,"Corporate Governance,Product Safety & Quality,Carbon Emissions",United Kingdom,"Jun-15,Apr-16,Apr-17,Mar-18,Jul-19",Health Care Providers & Services,"5%,7%,17%,40%,19%,10%,2%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002654293,"Privacy & Data Security,Labor Management,Carbon Emissions",Access to Communication,"Corporate Governance,Corruption & Instability",Germany,"Feb-16,Feb-17,Feb-18,Mar-19,Feb-20",Telecommunication Services,"2%,9%,22%,16%,27%,15%,9%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002659917,nan,nan,"Corporate Governance,Human Capital Development,Privacy & Data Security,Carbon Emissions",United Kingdom,"Mar-15,Feb-16,Mar-17,Apr-18,Jul-19",Media & Entertainment,"8%,23%,21%,23%,14%,8%,4%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002669433,Labor Management,Corporate Governance,"Corruption & Instability,Privacy & Data Security,Carbon Emissions",United Kingdom,"Apr-16,Oct-16,May-17,Jun-18,Oct-19",Media & Entertainment,"8%,23%,21%,23%,14%,8%,4%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,BBB"
IID000000002670264,Opportunities in Green Building,nan,"Corporate Governance,Human Capital Development",Germany,"Feb-15,Feb-16,Apr-17,May-18,Jul-19",Real Estate Management & Services,"1%,16%,13%,24%,20%,16%,10%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,A"
IID000000002670343,"Corporate Governance,Health & Safety,Labor Management,Opportunities in Clean Tech,Toxic Emissions & Waste",nan,nan,Germany,"Aug-15,Apr-16,Apr-17,May-18,Aug-19",Construction & Farm Machinery & Heavy Trucks,"13%,22%,9%,13%,28%,9%,6%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002672787,"Carbon Emissions,Toxic Emissions & Waste,Opportunities in Clean Tech",Chemical Safety,"Corporate Governance,Water Stress",Germany,"Oct-15,Oct-16,Oct-17,Oct-18,Jun-19",Commodity Chemicals,"34%,11%,23%,19%,4%,9%,0%","CCC,B,BB,BBB,A,AA,AAA","B,BB,BB,BB,BB"
IID000000002676654,Corruption & Instability,Human Capital Development,"Corporate Governance,Carbon Emissions",United Kingdom,"Feb-16,Feb-17,Feb-18,Mar-19,Feb-20",Diversified Financials,"0%,12%,14%,24%,29%,18%,2%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,AA,AA"
IID000000002676862,"Labor Management,Opportunities in Clean Tech","Carbon Emissions,Toxic Emissions & Waste","Corporate Governance,Health & Safety",Ireland,"Jan-16,Jan-17,Jan-18,Feb-19,Feb-20",Building Products,"5%,5%,0%,16%,32%,37%,5%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002680214,"Product Safety & Quality,Human Capital Development,Toxic Emissions & Waste",Access to Health Care,"Corporate Governance,Corruption & Instability",Ireland,"Sep-16,Jul-17,Aug-18,Jun-19,Feb-20",Pharmaceuticals,"2%,30%,24%,16%,21%,5%,2%","CCC,B,BB,BBB,A,AA,AAA","BB,BB,BBB,BBB,BBB"
IID000000002702852,"Corruption & Instability,Opportunities in Clean Tech","Labor Management,Toxic Emissions & Waste",Corporate Governance,United Kingdom,"Jan-16,Feb-17,Feb-18,Mar-19,Jan-20",Industrial Machinery,"7%,11%,11%,23%,21%,21%,5%","CCC,B,BB,BBB,A,AA,AAA","B,B,BB,BBB,BBB"
